ROI_number,x,y,z,VOL,Frontal_L,Frontal_R,Parietal_L,Parietal_R,Occipital_L,Occipital_R,Temporal_L,Temporal_R,Insula_L,Insula_R,Subcortical_L,Subcortical_R
1,13.3333333333333,18.7450980392157,-23.0588235294118,102,0,1,0,0,0,0,0,0,0,0,0,0
2,24.3759398496241,28.0601503759398,42.6917293233083,133,0,1,0,0,0,0,0,0,0,0,0,0
3,2.1981981981982,-13.0810810810811,43.1531531531532,111,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0,0,0
4,-49.3082706766917,40.3759398496241,2.97744360902256,133,1,0,0,0,0,0,0,0,0,0,0,0
5,48.141935483871,18.7870967741935,22.0129032258064,155,0,1,0,0,0,0,0,0,0,0,0,0
6,-55.7757009345794,-2.99065420560748,13.8130841121495,107,1,0,0,0,0,0,0,0,0,0,0,0
7,18.047619047619,-17.0952380952381,66.1269841269841,126,0,1,0,0,0,0,0,0,0,0,0,0
8,-43.2700729927007,39.6204379562044,22.9197080291971,137,1,0,0,0,0,0,0,0,0,0,0,0
9,-48,-19.2584269662921,44.5168539325843,89,1,0,0,0,0,0,0,0,0,0,0,0
10,-13.2083333333333,20.3958333333333,-16.1875,96,1,0,0,0,0,0,0,0,0,0,0,0
11,6.5679012345679,37.6666666666667,-7.24691358024691,162,0,1,0,0,0,0,0,0,0,0,0,0
12,50.1836734693878,-8,52.6530612244898,98,0,1,0,0,0,0,0,0,0,0,0,0
13,-44.9367088607595,11.7215189873418,34.1898734177215,158,1,0,0,0,0,0,0,0,0,0,0,0
14,-2.06593406593407,1.23076923076923,33.5164835164835,91,0.945054945054945,0.054945054945055,0,0,0,0,0,0,0,0,0,0
15,-21.6944444444444,-22.8888888888889,62.4722222222222,72,1,0,0,0,0,0,0,0,0,0,0,0
16,44.575,0.4,13.65,80,0,1,0,0,0,0,0,0,0,0,0,0
17,-30.28,-26.4,55.24,50,1,0,0,0,0,0,0,0,0,0,0,0
18,34.3962264150943,29.2641509433962,-4.0188679245283,106,0,1,0,0,0,0,0,0,0,0,0,0
19,-7.93333333333333,-13.3111111111111,44.5555555555556,90,1,0,0,0,0,0,0,0,0,0,0,0
20,-36.5396825396825,29.952380952381,-4.92063492063492,126,1,0,0,0,0,0,0,0,0,0,0,0
21,54.7733333333333,12.0933333333333,31.96,150,0,1,0,0,0,0,0,0,0,0,0,0
22,12.1081081081081,69.5495495495496,-0.450450450450451,111,0,1,0,0,0,0,0,0,0,0,0,0
23,-3.58064516129032,22.0967741935484,-9.06451612903226,62,1,0,0,0,0,0,0,0,0,0,0,0
24,-22.7612903225806,10.1032258064516,57.4064516129032,155,1,0,0,0,0,0,0,0,0,0,0,0
25,21.2333333333333,26.6833333333333,-20.5166666666667,120,0,1,0,0,0,0,0,0,0,0,0,0
26,-61.02,-12.26,34.64,100,1,0,0,0,0,0,0,0,0,0,0,0
27,-5.67619047619048,62.1142857142857,26.2857142857143,105,1,0,0,0,0,0,0,0,0,0,0,0
28,15.6635514018692,-22.018691588785,74.6355140186916,107,0,1,0,0,0,0,0,0,0,0,0,0
29,-36.2051282051282,10.8717948717949,27.3846153846154,78,1,0,0,0,0,0,0,0,0,0,0,0
30,12.7534246575342,41.6027397260274,18.1232876712329,146,0,1,0,0,0,0,0,0,0,0,0,0
31,44.734693877551,-13.265306122449,41.0204081632653,49,0,1,0,0,0,0,0,0,0,0,0,0
32,-6.768,-14.976,73.68,125,1,0,0,0,0,0,0,0,0,0,0,0
33,-43.125,23.796875,-12.609375,128,1,0,0,0,0,0,0,0,0,0,0,0
34,35.8613861386139,13.2673267326733,28.6732673267327,101,0,1,0,0,0,0,0,0,0,0,0,0
35,13.5540540540541,23.7432432432432,59.5945945945946,148,0,1,0,0,0,0,0,0,0,0,0,0
36,0.866666666666667,19.8,34.8133333333333,150,0.5,0.5,0,0,0,0,0,0,0,0,0,0
37,-40.7368421052632,6.52631578947368,8.97368421052632,76,1,0,0,0,0,0,0,0,0,0,0,0
38,-30.650406504065,35.0894308943089,42.9756097560976,123,1,0,0,0,0,0,0,0,0,0,0,0
39,31.1084337349398,23.8795180722892,-20.6746987951807,83,0,1,0,0,0,0,0,0,0,0,0,0
40,-36,-20.64,67.8133333333333,75,1,0,0,0,0,0,0,0,0,0,0,0
41,54.4387096774194,30.6451612903226,2.85161290322581,155,0,1,0,0,0,0,0,0,0,0,0,0
42,-46.7666666666667,34.8166666666667,-13.25,120,1,0,0,0,0,0,0,0,0,0,0,0
43,63.044776119403,-1.94029850746269,9.46268656716418,67,0,1,0,0,0,0,0,0,0,0,0,0
