ROI_number,X_MNI,Y_MNI,Z_MNI,VOL,Frontal_L,Frontal_R,Insula_L,Insula_R,Occipital_L,Occipital_R,Parietal_L,Parietal_R,Subcortical_L,Subcortical_R,Temporal_L,Temporal_R
1,-13.667,16.667,-16.152,66,1,0,0,0,0,0,0,0,0,0,0,0
2,-46.314,1.4118,8.8235,51,1,0,0,0,0,0,0,0,0,0,0,0
3,22.593,44.42,35.086,81,0,1,0,0,0,0,0,0,0,0,0,0
4,3.8701,-36.987,71.558,77,0.1039,0.8961,0,0,0,0,0,0,0,0,0,0
5,-17.143,-9.8182,58.779,77,1,0,0,0,0,0,0,0,0,0,0,0
6,11.375,36.95,21.775,80,0,1,0,0,0,0,0,0,0,0,0,0
7,45.675,10.825,21.225,80,0,1,0,0,0,0,0,0,0,0,0,0
8,-29.738,12.803,61.787,122,1,0,0,0,0,0,0,0,0,0,0,0
9,-39.395,26.372,7.5814,43,1,0,0,0,0,0,0,0,0,0,0,0
10,34.787,45.64,24.517,89,0,1,0,0,0,0,0,0,0,0,0,0
11,63.061,-2.6939,8.8163,49,0,1,0,0,0,0,0,0,0,0,0,0
12,3.38,-3.1,49.62,100,0.12,0.88,0,0,0,0,0,0,0,0,0,0
13,-32.27,-26.108,53.73,37,1,0,0,0,0,0,0,0,0,0,0,0
14,5.0789,62.079,-19.237,76,0,1,0,0,0,0,0,0,0,0,0,0
15,25.283,-26.528,74,53,0,1,0,0,0,0,0,0,0,0,0,0
16,-40.548,-1.4795,36.219,73,1,0,0,0,0,0,0,0,0,0,0,0
17,-27.211,56.737,-0.52632,76,1,0,0,0,0,0,0,0,0,0,0,0
18,16.949,11.559,-21.525,59,0,1,0,0,0,0,0,0,0,0,0,0
19,48.625,19.696,9.9464,112,0,1,0,0,0,0,0,0,0,0,0,0
20,-4.9032,27.57,40.387,93,1,0,0,0,0,0,0,0,0,0,0,0
21,-45.114,7.6571,20.371,70,1,0,0,0,0,0,0,0,0,0,0,0
22,21.103,-27.724,61.448,29,0,1,0,0,0,0,0,0,0,0,0,0
23,27.072,-2.7246,49.014,69,0,1,0,0,0,0,0,0,0,0,0,0
24,-27.478,35.304,28.087,46,1,0,0,0,0,0,0,0,0,0,0,0
25,44.795,49.759,-11.157,83,0,1,0,0,0,0,0,0,0,0,0,0
26,-13.648,63.736,-13.868,91,1,0,0,0,0,0,0,0,0,0,0,0
27,-38.529,-10.092,62.115,87,1,0,0,0,0,0,0,0,0,0,0,0
28,-16.082,-32.531,65.714,49,1,0,0,0,0,0,0,0,0,0,0,0
29,-19.692,10.962,-22.038,52,1,0,0,0,0,0,0,0,0,0,0,0
30,44.8,-2.8,13.733,45,0,1,0,0,0,0,0,0,0,0,0,0
31,-44.176,-3.1176,14.294,34,1,0,0,0,0,0,0,0,0,0,0,0
32,46.824,-3.8431,32.824,51,0,1,0,0,0,0,0,0,0,0,0,0
33,6.1346,0.34615,62.096,104,0,1,0,0,0,0,0,0,0,0,0,0
34,43.845,-5.767,47.728,103,0,1,0,0,0,0,0,0,0,0,0,0
35,-39.672,-19.343,64.448,67,1,0,0,0,0,0,0,0,0,0,0,0
